gene,transcript,transcript_coordinates,type,coordinates
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.2,35119004-35120226,Concanavalin A-like lectin/glucanase domain superfamily,216-366
BaRT2v18chr3HG123130,BaRT2v18chr3HG123130.2,35119004-35120226,Glycoside hydrolase family 16,213-369
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,2177-2204
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450 superfamily,126-969
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450 superfamily,1772-2363
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,2198-2231
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,2171-2198
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,1946-1979
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,1787-1838
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450 superfamily,165-969
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450 superfamily,1772-2366
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,333-396
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,2060-2132
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,1814-1892
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,2168-2198
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,261-318
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,951-969
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,1772-1805
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,2198-2267
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,171-969
BaRT2v18chr3HG123350,BaRT2v18chr3HG123350.1,36110459-36112988,Cytochrome P450,1772-2318
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,Proteinase inhibitor I13,220-400
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,Proteinase inhibitor I13,226-265
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,Proteinase inhibitor I13,340-370
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,Proteinase inhibitor I13,304-337
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,Proteinase inhibitor I13,190-400
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.1,35319605-35320175,Proteinase inhibitor I13,208-400
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,Proteinase inhibitor I13,217-397
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,Proteinase inhibitor I13,223-262
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,Proteinase inhibitor I13,337-367
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,Proteinase inhibitor I13,301-334
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,Proteinase inhibitor I13,187-397
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.2,35319608-35320180,Proteinase inhibitor I13,205-397
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,Proteinase inhibitor I13,217-397
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,Proteinase inhibitor I13,223-262
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,Proteinase inhibitor I13,337-367
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,Proteinase inhibitor I13,301-334
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,Proteinase inhibitor I13,187-397
BaRT2v18chr3HG123190,BaRT2v18chr3HG123190.3,35319608-35320175,Proteinase inhibitor I13,205-397
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,Alpha/Beta hydrolase fold,228-756
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,Alpha/beta hydrolase fold-1,249-609
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.1,36310093-36311941,Alpha/Beta hydrolase fold,126-831
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/Beta hydrolase fold,215-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/Beta hydrolase fold,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/Beta hydrolase fold,1474-1655
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/beta hydrolase fold-1,245-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/beta hydrolase fold-1,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/beta hydrolase fold-1,1474-1622
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/Beta hydrolase fold,224-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/Beta hydrolase fold,1223-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.2,36310097-36311945,Alpha/Beta hydrolase fold,1474-1646
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/beta hydrolase fold-1,461-500
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/beta hydrolase fold-1,314-359
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/beta hydrolase fold-1,1481-1523
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/beta hydrolase fold-1,245-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/beta hydrolase fold-1,1226-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/beta hydrolase fold-1,1474-1622
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/Beta hydrolase fold,215-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/Beta hydrolase fold,1226-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/Beta hydrolase fold,1474-1655
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/Beta hydrolase fold,224-761
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/Beta hydrolase fold,1226-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.3,36310097-36311945,Alpha/Beta hydrolase fold,1474-1646
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,Alpha/Beta hydrolase fold,224-752
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,Alpha/beta hydrolase fold-1,245-605
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.4,36310097-36311949,Alpha/Beta hydrolase fold,122-827
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,Alpha/Beta hydrolase fold,224-752
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,Alpha/beta hydrolase fold-1,245-605
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,Alpha/Beta hydrolase fold,122-827
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,1526-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,9560-9733
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,1460-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase,9951-10129
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Alliinase,1457-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Alliinase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Alliinase,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Alliinase,9951-10132
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,1457-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,9951-10123
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,1527-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,9560-9734
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,903-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase,9951-10130
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Alliinase,999-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Alliinase,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Alliinase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Alliinase,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Alliinase,9951-10133
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase domain 1,999-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase domain 1,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase domain 1,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase domain 1,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,Pyridoxal phosphate-dependent transferase domain 1,9951-10124
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,903-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,9560-9839
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,1527-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase,9560-9734
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,999-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Pyridoxal phosphate-dependent transferase domain 1,9560-9869
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Alliinase,999-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Alliinase,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Alliinase,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,Alliinase,9560-9869
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,1479-1697
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,9154-9431
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,9512-9686
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,855-962
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,1394-1697
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,9154-9431
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,9512-9816
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase,9903-10082
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Alliinase,951-962
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Alliinase,1394-1697
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Alliinase,9154-9431
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Alliinase,9512-9816
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Alliinase,9903-10085
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase domain 1,951-962
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase domain 1,1394-1697
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase domain 1,9154-9431
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase domain 1,9512-9816
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,Pyridoxal phosphate-dependent transferase domain 1,9903-10076
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,BTB/POZ domain,6393-6570
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Rx,3164-3398
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SKP1/BTB/POZ domain superfamily,6393-6711
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,P-loop containing nucleoside triphosphate hydrolase,3728-4056
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,P-loop containing nucleoside triphosphate hydrolase,4180-4662
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2270-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2434-2507
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2111-2246
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Myb domain,2267-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Myb domain,2434-2519
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2102-2252
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2261-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2434-2513
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Leucine-rich repeat domain superfamily,4959-6141
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,NB-ARC,3797-4056
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,NB-ARC,4180-4623
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Myb domain,2090-2258
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2105-2246
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2267-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,SANT/Myb domain,2434-2504
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,BTB/POZ domain,6393-6576
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Homeobox-like domain superfamily,2096-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,Homeobox-like domain superfamily,2434-2495
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1777-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1941-2014
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1618-1753
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,Myb domain,1774-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,Myb domain,1941-2026
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,NB-ARC,3304-3565
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,Homeobox-like domain superfamily,1603-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,Homeobox-like domain superfamily,1941-2002
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1609-1759
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1768-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1941-2020
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1612-1753
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1774-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,SANT/Myb domain,1941-2011
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,P-loop containing nucleoside triphosphate hydrolase,3235-3508
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,Myb domain,1597-1765
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,Rx,2671-2908
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,SKP1/BTB/POZ domain superfamily,1745-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,SKP1/BTB/POZ domain superfamily,3771-3783
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat-containing domain,4050-4287
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,BTB/POZ domain,1745-1922
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat-containing domain superfamily,4020-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat-containing domain superfamily,4930-5086
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat,4104-4194
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat,4206-4293
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,BTB/POZ domain,1745-1928
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat-containing domain superfamily,4041-4335
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,NPR1/NIM1-like,4332-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,NPR1/NIM1-like,4930-5103
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,NPR1/NIM1-like,5293-5483
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Leucine-rich repeat domain superfamily,308-1496
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Regulatory protein NPR,3903-4035
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Ankyrin repeat-containing domain,4104-4329
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Regulatory protein NPR,1607-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Regulatory protein NPR,3771-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Regulatory protein NPR,4930-5103
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,Regulatory protein NPR,5293-5483
