Transcript,position_start, position_end, label, depth, colour
BaRT2v18chr3HG123130.1,35120211,35120211, ,-0.19229718743622487, blue
BaRT2v18chr3HG123130.1,35120238,35120239, ,-0.12388123609281225, blue
BaRT2v18chr3HG123130.2,35119035,35119035, ,-0.1160652342624112, blue
BaRT2v18chr3HG123130.2,35120211,35120211, ,-0.12810227440735963, blue
BaRT2v18chr3HG123350.1,36112349,36112349, ,-0.1461108095665773, blue
BaRT2v18chr3HG123350.1,36112858,36112858, ,-0.12481416724724535, blue
BaRT2v18chr3HG123350.1,36112925,36112925, ,-0.14487562420746286, blue
BaRT2v18chr3HG123190.1,35319772,35319772, ,-0.14941444428993533, blue
BaRT2v18chr3HG123190.2,35319772,35319772, ,-0.10906857476359955, blue
BaRT2v18chr3HG123410.1,36310248,36310248, ,-0.39389288095821695, orange
BaRT2v18chr3HG123410.1,36310302,36310302, ,-0.10753374204553875, blue
BaRT2v18chr3HG123410.1,36310353,36310353, ,-0.12331906178620525, blue
BaRT2v18chr3HG123410.1,36310405,36310405, ,-0.1432287544258864, blue
BaRT2v18chr3HG123410.1,36310551,36310551, ,-0.18273328689001664, blue
BaRT2v18chr3HG123410.1,36311012,36311012, ,-0.18173318076349793, blue
BaRT2v18chr3HG123410.2,36310248,36310248, ,-0.392268496676563, orange
BaRT2v18chr3HG123410.2,36310302,36310302, ,-0.15468973950184628, blue
BaRT2v18chr3HG123410.2,36310353,36310353, ,-0.13492133769057144, blue
BaRT2v18chr3HG123410.2,36310405,36310405, ,-0.14705814041051227, blue
BaRT2v18chr3HG123410.2,36310551,36310551, ,-0.15980964300077044, blue
BaRT2v18chr3HG123410.3,36310248,36310248, ,-0.3492780560556006, orange
BaRT2v18chr3HG123410.3,36310302,36310302, ,-0.11621145870262886, blue
BaRT2v18chr3HG123410.3,36310353,36310353, ,-0.19585544999623283, blue
BaRT2v18chr3HG123410.3,36310405,36310405, ,-0.12110597884002611, blue
BaRT2v18chr3HG123410.3,36310551,36310551, ,-0.1314262002600664, blue
BaRT2v18chr3HG123410.4,36310248,36310248, ,-0.3596594158306172, orange
BaRT2v18chr3HG123410.4,36310302,36310302, ,-0.1604778600464295, blue
BaRT2v18chr3HG123410.4,36310353,36310353, ,-0.11640016040237791, blue
BaRT2v18chr3HG123410.4,36310405,36310405, ,-0.11325498806349417, blue
BaRT2v18chr3HG123410.4,36310551,36310551, ,-0.19812879069661743, blue
BaRT2v18chr3HG123410.4,36311012,36311012, ,-0.14319930372930714, blue
BaRT2v18chr3HG123410.5,36310248,36310248, ,-0.3677639429819012, orange
BaRT2v18chr3HG123410.5,36310302,36310302, ,-0.15187021793523073, blue
BaRT2v18chr3HG123410.5,36310353,36310353, ,-0.12177450074281204, blue
BaRT2v18chr3HG123410.5,36310405,36310405, ,-0.1889752699766528, blue
BaRT2v18chr3HG123410.5,36310551,36310551, ,-0.12254510380344759, blue
BaRT2v18chr3HG123410.5,36311012,36311012, ,-0.1808613284095827, blue
BaRT2v18chr3HG123080.1,34347332,34347332, ,-0.14116002687775792, blue
BaRT2v18chr3HG123080.1,34356216,34356216, ,-0.18332530261856592, blue
BaRT2v18chr3HG123080.1,34356256,34356256, ,-0.3259346652641342, orange
BaRT2v18chr3HG123080.1,34356257,34356257, ,-0.3064274304567681, orange
BaRT2v18chr3HG123080.1,34356694,34356694, ,-0.3556298404217278, orange
BaRT2v18chr3HG123080.1,34356712,34356712, ,-0.33659976911767253, orange
BaRT2v18chr3HG123080.1,34356830,34356830, ,-0.1902997423526742, blue
BaRT2v18chr3HG123080.1,34357135,34357135, ,-0.3631410410289815, orange
BaRT2v18chr3HG123080.1,34357465,34357465, ,-0.1963979189085287, blue
BaRT2v18chr3HG123080.1,34357527,34357527, ,-0.12029778946346642, blue
BaRT2v18chr3HG123080.1,34357544,34357544, ,-0.1315260951672301, blue
BaRT2v18chr3HG123080.1,34357622,34357622, ,-0.17465475561605726, blue
BaRT2v18chr3HG123080.2,34347332,34347332, ,-0.1354997551008787, blue
BaRT2v18chr3HG123080.2,34347403,34347403, ,-0.17621888165805583, blue
BaRT2v18chr3HG123080.2,34347404,34347404, ,-0.19222587922842513, blue
BaRT2v18chr3HG123080.2,34347457,34347457, ,-0.13796572002249038, blue
BaRT2v18chr3HG123080.2,34347624,34347624, ,-0.12770276242436865, blue
BaRT2v18chr3HG123080.2,34347967,34347967, ,-0.3249592052495758, orange
BaRT2v18chr3HG123080.2,34348002,34348002, ,-0.17030412295913305, blue
BaRT2v18chr3HG123080.2,34356216,34356216, ,-0.1569655362831333, blue
BaRT2v18chr3HG123080.2,34356256,34356256, ,-0.30443090695971264, orange
BaRT2v18chr3HG123080.2,34356257,34356257, ,-0.3993175528148876, orange
BaRT2v18chr3HG123080.2,34356694,34356694, ,-0.3854813072828007, orange
BaRT2v18chr3HG123080.2,34356712,34356712, ,-0.3869125099511583, orange
BaRT2v18chr3HG123080.2,34356830,34356830, ,-0.138150181943027, blue
BaRT2v18chr3HG123080.2,34357135,34357135, ,-0.39896285262509823, orange
BaRT2v18chr3HG123080.2,34357465,34357465, ,-0.16556763506181807, blue
BaRT2v18chr3HG123080.2,34357527,34357527, ,-0.11568350832456553, blue
BaRT2v18chr3HG123080.2,34357544,34357544, ,-0.12660135001703085, blue
BaRT2v18chr3HG123080.2,34357622,34357622, ,-0.13212421995442702, blue
BaRT2v18chr3HG123080.3,34347332,34347332, ,-0.19273643179115657, blue
BaRT2v18chr3HG123080.3,34347403,34347403, ,-0.19871006989788076, blue
BaRT2v18chr3HG123080.3,34347404,34347404, ,-0.1795747365504116, blue
BaRT2v18chr3HG123080.3,34347457,34347457, ,-0.11863515497616486, blue
BaRT2v18chr3HG123080.3,34347624,34347624, ,-0.16295121931264148, blue
BaRT2v18chr3HG123080.3,34347967,34347967, ,-0.39111808386634705, orange
BaRT2v18chr3HG123080.3,34348002,34348002, ,-0.15072309432086, blue
BaRT2v18chr3HG123080.3,34356216,34356216, ,-0.12810841873478643, blue
BaRT2v18chr3HG123080.3,34356256,34356256, ,-0.3903784132510583, orange
BaRT2v18chr3HG123080.3,34356257,34356257, ,-0.35854780825876753, orange
BaRT2v18chr3HG123080.3,34356694,34356694, ,-0.3212396731349585, orange
BaRT2v18chr3HG123080.3,34356712,34356712, ,-0.3539000396784329, orange
BaRT2v18chr3HG123080.3,34356830,34356830, ,-0.14469017412865595, blue
BaRT2v18chr3HG123080.3,34357135,34357135, ,-0.18516224704688433, blue
BaRT2v18chr3HG123080.3,34357465,34357465, ,-0.10166036830691051, blue
BaRT2v18chr3HG123080.3,34357527,34357527, ,-0.12912620934210692, blue
BaRT2v18chr3HG123080.3,34357544,34357544, ,-0.10488868952861588, blue
BaRT2v18chr3HG123080.3,34357622,34357622, ,-0.17460084185305225, blue
BaRT2v18chr3HG123080.4,34347332,34347332, ,-0.11212205496258071, blue
BaRT2v18chr3HG123080.4,34347624,34347624, ,-0.15717270804181088, blue
BaRT2v18chr3HG123080.4,34347967,34347967, ,-0.3809859278409279, orange
BaRT2v18chr3HG123080.4,34348002,34348002, ,-0.10633776625747224, blue
BaRT2v18chr3HG123080.4,34356216,34356216, ,-0.10836906420326006, blue
BaRT2v18chr3HG123080.4,34356256,34356256, ,-0.37612389627410336, orange
BaRT2v18chr3HG123080.4,34356257,34356257, ,-0.35450106654070107, orange
BaRT2v18chr3HG123080.4,34356694,34356694, ,-0.30459662009269134, orange
BaRT2v18chr3HG123080.4,34356712,34356712, ,-0.3320853941596997, orange
BaRT2v18chr3HG123080.4,34356830,34356830, ,-0.19261119984316152, blue
BaRT2v18chr3HG123080.4,34357135,34357135, ,-0.36596365637252504, orange
BaRT2v18chr3HG123080.4,34357465,34357465, ,-0.11842697503438726, blue
BaRT2v18chr3HG123080.4,34357527,34357527, ,-0.14465288408538557, blue
BaRT2v18chr3HG123080.4,34357544,34357544, ,-0.1887818024611459, blue
BaRT2v18chr3HG123080.4,34357622,34357622, ,-0.1514340298138326, blue
BaRT2v18chr3HG123500.3,36890032,36890032, ,-0.17434637259834784, blue
BaRT2v18chr3HG123500.4,36890032,36890032, ,-0.1403130000448546, blue
BaRT2v18chr3HG123000.1,33574220,33574220, ,-0.14498270915327988, blue
BaRT2v18chr3HG123000.1,33574254,33574254, ,-0.10863328014625956, blue
BaRT2v18chr3HG123000.1,33574321,33574321, ,-0.19966441245490824, blue
BaRT2v18chr3HG123000.1,33577017,33577017, ,-0.11262308465199704, blue
BaRT2v18chr3HG123000.1,33577727,33577727, ,-0.13261684764407394, blue
BaRT2v18chr3HG123000.1,33577868,33577868, ,-0.1619680983144552, blue
BaRT2v18chr3HG123000.1,33578683,33578683, ,-0.1062718832930631, blue
BaRT2v18chr3HG123000.1,33580916,33580916, ,-0.12464076183574939, blue
BaRT2v18chr3HG123000.10,33574220,33574220, ,-0.16382403427835168, blue
BaRT2v18chr3HG123000.10,33574254,33574254, ,-0.14124993269849706, blue
BaRT2v18chr3HG123000.10,33574321,33574321, ,-0.1430876097079456, blue
BaRT2v18chr3HG123000.10,33577017,33577017, ,-0.31385898327241635, orange
BaRT2v18chr3HG123000.10,33577727,33577727, ,-0.1660631827059283, blue
BaRT2v18chr3HG123000.10,33577868,33577868, ,-0.12432409175578507, blue
BaRT2v18chr3HG123000.10,33578683,33578683, ,-0.3885606295931986, orange
BaRT2v18chr3HG123000.10,33580916,33580916, ,-0.15153209266493173, blue
BaRT2v18chr3HG123000.11,33574220,33574220, ,-0.1504340855204609, blue
BaRT2v18chr3HG123000.11,33574254,33574254, ,-0.1977108343951073, blue
BaRT2v18chr3HG123000.11,33574321,33574321, ,-0.11827225207181757, blue
BaRT2v18chr3HG123000.11,33577017,33577017, ,-0.38502394091326425, orange
BaRT2v18chr3HG123000.11,33577727,33577727, ,-0.13855410744512914, blue
BaRT2v18chr3HG123000.11,33577868,33577868, ,-0.10386267545917366, blue
BaRT2v18chr3HG123000.11,33578683,33578683, ,-0.3315268812464967, orange
BaRT2v18chr3HG123000.11,33580916,33580916, ,-0.1537544518097815, blue
BaRT2v18chr3HG123000.12,33574220,33574220, ,-0.12809758977061309, blue
BaRT2v18chr3HG123000.12,33574254,33574254, ,-0.1333673632159337, blue
BaRT2v18chr3HG123000.12,33574321,33574321, ,-0.1945893811160902, blue
BaRT2v18chr3HG123000.12,33577017,33577017, ,-0.3237984668946034, orange
BaRT2v18chr3HG123000.12,33577727,33577727, ,-0.14069470413903673, blue
BaRT2v18chr3HG123000.12,33577868,33577868, ,-0.1678513478527937, blue
BaRT2v18chr3HG123000.12,33578683,33578683, ,-0.36295379559368524, orange
BaRT2v18chr3HG123000.12,33580916,33580916, ,-0.19879497373845018, blue
BaRT2v18chr3HG123000.13,33574220,33574220, ,-0.11666545108231816, blue
BaRT2v18chr3HG123000.13,33574254,33574254, ,-0.1281825702145572, blue
BaRT2v18chr3HG123000.13,33574321,33574321, ,-0.10595032920700986, blue
BaRT2v18chr3HG123000.13,33577017,33577017, ,-0.3888293098894098, orange
BaRT2v18chr3HG123000.13,33577727,33577727, ,-0.12260762774497547, blue
BaRT2v18chr3HG123000.13,33577868,33577868, ,-0.14535315528587686, blue
BaRT2v18chr3HG123000.13,33578683,33578683, ,-0.33224181987573465, orange
BaRT2v18chr3HG123000.13,33580916,33580916, ,-0.1250957993106027, blue
BaRT2v18chr3HG123000.14,33574220,33574220, ,-0.18062257691259312, blue
BaRT2v18chr3HG123000.14,33574254,33574254, ,-0.12284342893304767, blue
BaRT2v18chr3HG123000.14,33574321,33574321, ,-0.11475974415444803, blue
BaRT2v18chr3HG123000.14,33577017,33577017, ,-0.31941542461442973, orange
BaRT2v18chr3HG123000.14,33577727,33577727, ,-0.1566145204783813, blue
BaRT2v18chr3HG123000.14,33577868,33577868, ,-0.15176928388527336, blue
BaRT2v18chr3HG123000.14,33578683,33578683, ,-0.12251458352980851, blue
BaRT2v18chr3HG123000.14,33580916,33580916, ,-0.16379142139174924, blue
BaRT2v18chr3HG123000.15,33574220,33574220, ,-0.12186277706155398, blue
BaRT2v18chr3HG123000.15,33574254,33574254, ,-0.15293713077219817, blue
BaRT2v18chr3HG123000.15,33574321,33574321, ,-0.13423081169034287, blue
BaRT2v18chr3HG123000.15,33577017,33577017, ,-0.16875566106962953, blue
BaRT2v18chr3HG123000.15,33577727,33577727, ,-0.1411090177605903, blue
BaRT2v18chr3HG123000.15,33577868,33577868, ,-0.12677130791895225, blue
BaRT2v18chr3HG123000.15,33578683,33578683, ,-0.17588585135432908, blue
BaRT2v18chr3HG123000.15,33580916,33580916, ,-0.18487831619748316, blue
BaRT2v18chr3HG123000.16,33574220,33574220, ,-0.1817974849571829, blue
BaRT2v18chr3HG123000.16,33574254,33574254, ,-0.18321016487745817, blue
BaRT2v18chr3HG123000.16,33574321,33574321, ,-0.1710094837845402, blue
BaRT2v18chr3HG123000.16,33576083,33576083, ,-0.11997638460665222, blue
BaRT2v18chr3HG123000.16,33576106,33576106, ,-0.17828128620103584, blue
BaRT2v18chr3HG123000.16,33577017,33577017, ,-0.16159633443231025, blue
BaRT2v18chr3HG123000.16,33577727,33577727, ,-0.1964520517525857, blue
BaRT2v18chr3HG123000.16,33577868,33577868, ,-0.11368930173380438, blue
BaRT2v18chr3HG123000.16,33578683,33578683, ,-0.1573438270296545, blue
BaRT2v18chr3HG123000.2,33574220,33574220, ,-0.16270757133084363, blue
BaRT2v18chr3HG123000.2,33574254,33574254, ,-0.170720289342144, blue
BaRT2v18chr3HG123000.2,33574321,33574321, ,-0.14307397954332973, blue
BaRT2v18chr3HG123000.2,33577017,33577017, ,-0.1154604076332969, blue
BaRT2v18chr3HG123000.2,33577727,33577727, ,-0.18395947086919806, blue
BaRT2v18chr3HG123000.2,33577868,33577868, ,-0.19008866867266444, blue
BaRT2v18chr3HG123000.2,33578683,33578683, ,-0.10904033956268597, blue
BaRT2v18chr3HG123000.2,33580916,33580916, ,-0.13337186149787958, blue
BaRT2v18chr3HG123000.3,33574220,33574220, ,-0.10895005121157587, blue
BaRT2v18chr3HG123000.3,33574254,33574254, ,-0.1830460681331068, blue
BaRT2v18chr3HG123000.3,33574321,33574321, ,-0.16493062328078933, blue
BaRT2v18chr3HG123000.3,33577017,33577017, ,-0.11665751804811086, blue
BaRT2v18chr3HG123000.3,33577727,33577727, ,-0.1184645831944956, blue
BaRT2v18chr3HG123000.3,33577868,33577868, ,-0.1546512027043966, blue
BaRT2v18chr3HG123000.3,33578683,33578683, ,-0.1212885012375088, blue
BaRT2v18chr3HG123000.3,33580916,33580916, ,-0.16096164645541466, blue
BaRT2v18chr3HG123000.4,33574220,33574220, ,-0.19233322238448572, blue
BaRT2v18chr3HG123000.4,33574254,33574254, ,-0.10116180815628413, blue
BaRT2v18chr3HG123000.4,33574321,33574321, ,-0.134861297463557, blue
BaRT2v18chr3HG123000.4,33577017,33577017, ,-0.14213429731860389, blue
BaRT2v18chr3HG123000.4,33577727,33577727, ,-0.11342345284809026, blue
BaRT2v18chr3HG123000.4,33577868,33577868, ,-0.11147072583052821, blue
BaRT2v18chr3HG123000.4,33578683,33578683, ,-0.16683740203885944, blue
BaRT2v18chr3HG123000.4,33580916,33580916, ,-0.16062808165219794, blue
BaRT2v18chr3HG123000.5,33574220,33574220, ,-0.14575287158517017, blue
BaRT2v18chr3HG123000.5,33574254,33574254, ,-0.13754475869148555, blue
BaRT2v18chr3HG123000.5,33574321,33574321, ,-0.17158503879579826, blue
BaRT2v18chr3HG123000.5,33577017,33577017, ,-0.1759154668998636, blue
BaRT2v18chr3HG123000.5,33577727,33577727, ,-0.10925946918855745, blue
BaRT2v18chr3HG123000.5,33577868,33577868, ,-0.15449698562473207, blue
BaRT2v18chr3HG123000.5,33578683,33578683, ,-0.17811009684350926, blue
BaRT2v18chr3HG123000.5,33580916,33580916, ,-0.17411074734712673, blue
BaRT2v18chr3HG123000.6,33574220,33574220, ,-0.11656334484506711, blue
BaRT2v18chr3HG123000.6,33574254,33574254, ,-0.1879363052487748, blue
BaRT2v18chr3HG123000.6,33574321,33574321, ,-0.1078779366221761, blue
BaRT2v18chr3HG123000.6,33577017,33577017, ,-0.1301134633903049, blue
BaRT2v18chr3HG123000.6,33577727,33577727, ,-0.16096134018430802, blue
BaRT2v18chr3HG123000.6,33577868,33577868, ,-0.11525755969474837, blue
BaRT2v18chr3HG123000.6,33578683,33578683, ,-0.13412392702734327, blue
BaRT2v18chr3HG123000.6,33580916,33580916, ,-0.14035709234445493, blue
BaRT2v18chr3HG123000.7,33574220,33574220, ,-0.1385051872536039, blue
BaRT2v18chr3HG123000.7,33574254,33574254, ,-0.1748442461920937, blue
BaRT2v18chr3HG123000.7,33574321,33574321, ,-0.10055002730301163, blue
BaRT2v18chr3HG123000.7,33576083,33576083, ,-0.12101478860460824, blue
BaRT2v18chr3HG123000.7,33576106,33576106, ,-0.15447060100097187, blue
BaRT2v18chr3HG123000.7,33577017,33577017, ,-0.10881321542324768, blue
BaRT2v18chr3HG123000.7,33577727,33577727, ,-0.10496290796821262, blue
BaRT2v18chr3HG123000.7,33577868,33577868, ,-0.11241557736069491, blue
BaRT2v18chr3HG123000.7,33578683,33578683, ,-0.10110544206899466, blue
BaRT2v18chr3HG123000.7,33580916,33580916, ,-0.1717302891284758, blue
BaRT2v18chr3HG123000.8,33574220,33574220, ,-0.10081920505869374, blue
BaRT2v18chr3HG123000.8,33574254,33574254, ,-0.1418815956318346, blue
BaRT2v18chr3HG123000.8,33574321,33574321, ,-0.10708276637771125, blue
BaRT2v18chr3HG123000.8,33576083,33576083, ,-0.16626726618278223, blue
BaRT2v18chr3HG123000.8,33576106,33576106, ,-0.1973462438704402, blue
BaRT2v18chr3HG123000.8,33577017,33577017, ,-0.10846990055733317, blue
BaRT2v18chr3HG123000.8,33577727,33577727, ,-0.19627830031463755, blue
BaRT2v18chr3HG123000.8,33577868,33577868, ,-0.1211312017587976, blue
BaRT2v18chr3HG123000.8,33578683,33578683, ,-0.13732156495241926, blue
BaRT2v18chr3HG123000.8,33580916,33580916, ,-0.1308885522500994, blue
BaRT2v18chr3HG123000.9,33574220,33574220, ,-0.19201827635887325, blue
BaRT2v18chr3HG123000.9,33574254,33574254, ,-0.11265082130117955, blue
BaRT2v18chr3HG123000.9,33574321,33574321, ,-0.14149357690183761, blue
BaRT2v18chr3HG123000.9,33577017,33577017, ,-0.3916325699447231, orange
BaRT2v18chr3HG123000.9,33577727,33577727, ,-0.10092829950309087, blue
BaRT2v18chr3HG123000.9,33577868,33577868, ,-0.15140535672837355, blue
BaRT2v18chr3HG123000.9,33578683,33578683, ,-0.14829851039021336, blue
BaRT2v18chr3HG123000.9,33580916,33580916, ,-0.12821497880064509, blue
BaRT2v18chr3HG123490.1,36857104,36857104, ,-0.14916252221889498, blue
BaRT2v18chr3HG123490.1,36857114,36857114, ,-0.17868200419389804, blue
BaRT2v18chr3HG123490.1,36859120,36859120, ,-0.10384048013771335, blue
BaRT2v18chr3HG122890.1,33165496,33165496, ,-0.14358890256469073, blue
BaRT2v18chr3HG122890.1,33165646,33165646, ,-0.11215841779426369, blue
BaRT2v18chr3HG122890.1,33165734,33165734, ,-0.3890116370472139, orange
BaRT2v18chr3HG122890.1,33166067,33166067, ,-0.15222278513303172, blue
BaRT2v18chr3HG122890.1,33166082,33166082, ,-0.16134590846270583, blue
BaRT2v18chr3HG122890.1,33166106,33166106, ,-0.12918503715552182, blue
BaRT2v18chr3HG122890.2,33165496,33165496, ,-0.12140618062690815, blue
BaRT2v18chr3HG122890.2,33165646,33165646, ,-0.1750345452451048, blue
BaRT2v18chr3HG122890.2,33165734,33165734, ,-0.3456408665399776, orange
BaRT2v18chr3HG123110.1,34748456,34748456, ,-0.13583949521170507, blue
BaRT2v18chr3HG123110.1,34748574,34748574, ,-0.16524806362442856, blue
BaRT2v18chr3HG123110.1,34748648,34748649, ,-0.13369709157667092, blue
BaRT2v18chr3HG123110.1,34749036,34749036, ,-0.19225212945835543, blue
BaRT2v18chr3HG123110.1,34749044,34749044, ,-0.11491880249419979, blue
BaRT2v18chr3HG123110.1,34749617,34749617, ,-0.1822609039090357, blue
BaRT2v18chr3HG123110.1,34749683,34749683, ,-0.14851756735926322, blue
BaRT2v18chr3HG123110.1,34749723,34749723, ,-0.1676031324278658, blue
BaRT2v18chr3HG123110.1,34749786,34749786, ,-0.1429284287677566, blue
BaRT2v18chr3HG123110.1,34750071,34750071, ,-0.17766546843052922, blue
BaRT2v18chr3HG123110.1,34750157,34750157, ,-0.15157464259262488, blue
BaRT2v18chr3HG123110.1,34750203,34750203, ,-0.11522199053659227, blue
BaRT2v18chr3HG123110.1,34750217,34750217, ,-0.11083236410584252, blue
BaRT2v18chr3HG123110.1,34750342,34750342, ,-0.10284473048173703, blue
BaRT2v18chr3HG123110.1,34750354,34750354, ,-0.1394411160131879, blue
BaRT2v18chr3HG123110.1,34750477,34750477, ,-0.16799913189525434, blue
BaRT2v18chr3HG123110.1,34750705,34750705, ,-0.12377637621399637, blue
BaRT2v18chr3HG123110.1,34750986,34750986, ,-0.12882183456469937, blue
BaRT2v18chr3HG123110.1,34751060,34751060, ,-0.19037281519411775, blue
BaRT2v18chr3HG123110.1,34751106,34751106, ,-0.14186062858679913, blue
BaRT2v18chr3HG123110.1,34751148,34751148, ,-0.1273824853889646, blue
BaRT2v18chr3HG123110.1,34751252,34751257, ,-0.14111600749441183, blue
BaRT2v18chr3HG123110.1,34751342,34751342, ,-0.15579493199857308, blue
BaRT2v18chr3HG123110.1,34751416,34751416, ,-0.1334728519337252, blue
BaRT2v18chr3HG123110.1,34751473,34751473, ,-0.19316620634940362, blue
BaRT2v18chr3HG123110.1,34751502,34751502, ,-0.13435447921336635, blue
BaRT2v18chr3HG123110.10,34748456,34748456, ,-0.1148581503571536, blue
BaRT2v18chr3HG123110.10,34748648,34748649, ,-0.10873025889166064, blue
BaRT2v18chr3HG123110.10,34749036,34749036, ,-0.1143199690481777, blue
BaRT2v18chr3HG123110.10,34749044,34749044, ,-0.1115454265261403, blue
BaRT2v18chr3HG123110.10,34749617,34749617, ,-0.15719094431345346, blue
BaRT2v18chr3HG123110.10,34749683,34749683, ,-0.18323132974359121, blue
BaRT2v18chr3HG123110.10,34749723,34749723, ,-0.12361700454337841, blue
BaRT2v18chr3HG123110.10,34749786,34749786, ,-0.1502837736791111, blue
BaRT2v18chr3HG123110.10,34750071,34750071, ,-0.18719996443204, blue
BaRT2v18chr3HG123110.10,34750157,34750157, ,-0.16261899925802148, blue
BaRT2v18chr3HG123110.10,34750203,34750203, ,-0.1792558528012791, blue
BaRT2v18chr3HG123110.10,34750217,34750217, ,-0.12363339213309146, blue
BaRT2v18chr3HG123110.10,34750342,34750342, ,-0.10184166845423172, blue
BaRT2v18chr3HG123110.10,34750354,34750354, ,-0.13884408030411588, blue
BaRT2v18chr3HG123110.10,34750477,34750477, ,-0.18366133268512558, blue
BaRT2v18chr3HG123110.10,34750705,34750705, ,-0.10067963610545928, blue
BaRT2v18chr3HG123110.11,34748574,34748574, ,-0.12232716246468783, blue
BaRT2v18chr3HG123110.11,34748648,34748649, ,-0.1323296349163281, blue
BaRT2v18chr3HG123110.11,34749036,34749036, ,-0.10896244746230178, blue
BaRT2v18chr3HG123110.11,34749044,34749044, ,-0.12275950093483752, blue
BaRT2v18chr3HG123110.11,34749617,34749617, ,-0.11676154632071682, blue
BaRT2v18chr3HG123110.11,34749683,34749683, ,-0.13371546683475188, blue
BaRT2v18chr3HG123110.11,34749723,34749723, ,-0.14149885529826206, blue
BaRT2v18chr3HG123110.11,34749786,34749786, ,-0.18510125013367557, blue
BaRT2v18chr3HG123110.11,34750071,34750071, ,-0.1412117260654281, blue
BaRT2v18chr3HG123110.11,34750157,34750157, ,-0.19660254649631057, blue
BaRT2v18chr3HG123110.11,34750203,34750203, ,-0.10656630863836486, blue
BaRT2v18chr3HG123110.11,34750217,34750217, ,-0.1925848664062321, blue
BaRT2v18chr3HG123110.11,34750342,34750342, ,-0.12516666482745722, blue
BaRT2v18chr3HG123110.11,34750354,34750354, ,-0.14278685847778852, blue
BaRT2v18chr3HG123110.11,34751060,34751060, ,-0.3781003973348599, orange
BaRT2v18chr3HG123110.11,34751106,34751106, ,-0.395240409840085, orange
BaRT2v18chr3HG123110.11,34751148,34751148, ,-0.13433819678952993, blue
BaRT2v18chr3HG123110.11,34751252,34751257, frameshift,-0.5218028581325117, red
BaRT2v18chr3HG123110.11,34751342,34751342, ,-0.3941336235419743, orange
BaRT2v18chr3HG123110.11,34751416,34751416, ,-0.3339612324333489, orange
BaRT2v18chr3HG123110.11,34751473,34751473, stop_lost,-0.5733816910004887, red
BaRT2v18chr3HG123110.11,34751502,34751502, ,-0.1891117763312253, blue
