gene,transcript,transcript_coordinates,type,coordinates
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,3' utr,837-1312
BaRT2v18chr3HG123410,BaRT2v18chr3HG123410.5,36310097-36311941,3' utr,1474-1845
BaRT2v18chr3HG123460,BaRT2v18chr3HG123460.1,36511901-36512548,exon,1-648
BaRT2v18chr3HG123460,BaRT2v18chr3HG123460.1,36511901-36512548,5' utr,1-296
BaRT2v18chr3HG123460,BaRT2v18chr3HG123460.1,36511901-36512548,coding_region,297-605
BaRT2v18chr3HG123460,BaRT2v18chr3HG123460.1,36511901-36512548,3' utr,606-648
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,exon,1-304
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,exon,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,exon,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,exon,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,exon,9951-10662
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,intron,305-1441
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,intron,1746-9201
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,intron,9480-9559
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,intron,9865-9950
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,5' utr,1-304
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,5' utr,1442-1454
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,coding_region,1455-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,coding_region,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,coding_region,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,coding_region,9951-10135
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.1,34347022-34357683,3' utr,10136-10662
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,exon,1-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,exon,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,exon,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,exon,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,exon,9951-10680
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,intron,1011-1441
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,intron,1746-9201
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,intron,9480-9559
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,intron,9865-9950
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,5' utr,1-555
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,coding_region,556-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,coding_region,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,coding_region,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,coding_region,9560-9864
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,coding_region,9951-10135
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.2,34347022-34357701,3' utr,10136-10680
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,exon,1-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,exon,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,exon,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,exon,9560-10662
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,intron,1011-1441
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,intron,1746-9201
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,intron,9480-9559
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,5' utr,1-555
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,coding_region,556-1010
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,coding_region,1442-1745
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,coding_region,9202-9479
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,coding_region,9560-9893
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.3,34347022-34357683,3' utr,9894-10662
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,exon,1-256
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,exon,487-962
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,exon,1394-1697
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,exon,9154-9431
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,exon,9512-9816
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,exon,9903-10630
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,intron,257-486
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,intron,963-1393
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,intron,1698-9153
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,intron,9432-9511
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,intron,9817-9902
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,5' utr,1-256
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,5' utr,487-507
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,coding_region,508-962
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,coding_region,1394-1697
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,coding_region,9154-9431
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,coding_region,9512-9816
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,coding_region,9903-10087
BaRT2v18chr3HG123080,BaRT2v18chr3HG123080.4,34347070-34357699,3' utr,10088-10630
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,exon,1-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,exon,2434-4056
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,exon,4180-6828
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,intron,2327-2433
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,intron,4057-4179
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,5' utr,1-2051
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,coding_region,2052-2326
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,coding_region,2434-4056
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.1,36880423-36887250,coding_region,4180-6828
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,exon,1-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,exon,1941-4959
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,intron,1834-1940
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,5' utr,1-1558
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,coding_region,1559-1833
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,coding_region,1941-3573
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.2,36880916-36885874,3' utr,3574-4959
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,exon,1-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,exon,3771-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,exon,4930-5103
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,exon,5293-5819
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,intron,2067-3770
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,intron,4519-4929
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,intron,5104-5292
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,5' utr,1-17
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,coding_region,18-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,coding_region,3771-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,coding_region,4930-5103
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,coding_region,5293-5507
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.3,36885069-36890887,3' utr,5508-5819
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,exon,1-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,exon,3771-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,exon,4930-5819
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,intron,2067-3770
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,intron,4519-4929
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,5' utr,1-17
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,coding_region,18-2066
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,coding_region,3771-4518
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,coding_region,4930-5129
BaRT2v18chr3HG123500,BaRT2v18chr3HG123500.4,36885069-36890887,3' utr,5130-5819
BaRT2v18chr3HG123310,BaRT2v18chr3HG123310.1,36056240-36056821,exon,1-582
BaRT2v18chr3HG123310,BaRT2v18chr3HG123310.1,36056240-36056821,5' utr,1-0
BaRT2v18chr3HG123310,BaRT2v18chr3HG123310.1,36056240-36056821,coding_region,1-180
BaRT2v18chr3HG123310,BaRT2v18chr3HG123310.1,36056240-36056821,3' utr,181-582
BaRT2v18chr3HG123230,BaRT2v18chr3HG123230.1,35414743-35415435,exon,1-693
BaRT2v18chr3HG123230,BaRT2v18chr3HG123230.1,35414743-35415435,5' utr,1-39
BaRT2v18chr3HG123230,BaRT2v18chr3HG123230.1,35414743-35415435,coding_region,40-549
BaRT2v18chr3HG123230,BaRT2v18chr3HG123230.1,35414743-35415435,3' utr,550-693
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,1-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,2095-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,exon,6609-6760
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,184-1478
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,1585-1670
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,1810-2094
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,2323-2422
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,2573-2712
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,2968-3510
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,3720-4365
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,4591-4990
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,5153-5391
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,intron,5468-6608
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,5' utr,1-94
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,coding_region,95-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,coding_region,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,coding_region,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,coding_region,2095-2153
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,2154-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,4366-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.1,33574180-33580939,3' utr,6609-6760
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,1-183
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,1479-1584
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,1671-1809
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,2095-2137
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,2231-2322
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,2423-2572
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,2713-2967
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,3511-3719
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,4363-4590
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,4991-5152
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,5392-5467
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,exon,6609-6771
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,184-1478
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,1585-1670
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,1810-2094
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,2138-2230
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,2323-2422
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,2573-2712
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,2968-3510
BaRT2v18chr3HG123000,BaRT2v18chr3HG123000.10,33574180-33580950,intron,3720-4362
